N 400
M 1130
R 26
# u v length
177 326 1
177 383 1
178 180 2
178 182 3
178 326 1
178 383 1
179 172 1
179 173 1
179 383 1
180 172 1
180 178 2
180 181 1
181 180 1
181 386 2
181 387 2
182 178 3
182 183 2
182 387 2
183 182 2
183 184 4
183 322 2
183 384 2
184 183 4
184 188 3
184 288 2
184 385 2
185 186 1
185 254 1
185 388 3
186 185 1
186 255 2
186 389 2
187 42 2
187 189 2
187 202 2
187 247 2
188 184 3
188 189 2
188 247 2
189 187 2
189 188 2
189 190 2
189 276 4
190 48 1
190 189 2
190 191 1
191 42 1
191 106 1
191 190 1
192 106 1
192 197 2
193 194 1
193 318 1
194 106 1
194 195 2
195 194 2
195 209 3
196 193 2
197 47 2
197 198 1
198 203 3
199 375 2
200 47 1
200 207 3
200 250 3
200 375 1
201 112 1
201 196 3
202 111 1
202 187 2
202 249 2
202 252 3
203 244 4
204 145 4
204 205 1
204 207 1
205 204 1
205 206 1
205 214 2
205 323 3
206 205 1
206 207 1
206 213 2
206 376 2
207 200 3
207 204 1
207 206 1
207 208 2
208 207 2
208 209 2
208 376 1
209 195 3
209 208 2
209 210 1
209 317 1
210 209 1
210 211 2
210 376 2
211 210 2
211 212 2
211 219 2
211 266 1
212 211 2
212 213 2
212 218 2
212 376 2
213 206 2
213 212 2
213 214 1
213 217 2
214 205 2
214 213 1
214 215 2
214 216 1
215 38 1
215 214 2
215 216 2
216 214 1
216 215 2
216 217 1
216 364 2
217 213 2
217 216 1
217 218 2
217 221 1
218 212 2
218 217 2
218 219 2
218 361 1
219 211 2
219 218 2
219 220 1
220 219 1
220 242 3
220 264 4
220 361 2
221 217 1
221 232 2
221 361 2
221 364 1
222 76 1
222 223 1
222 230 2
223 38 2
223 142 1
223 222 1
223 224 2
224 80 1
224 141 1
224 223 2
224 230 1
225 80 1
225 226 1
225 229 1
225 368 1
226 92 1
226 93 1
226 131 1
226 225 1
227 93 2
227 94 2
228 91 1
228 92 1
228 236 1
229 88 1
229 91 1
229 225 1
229 235 1
230 88 1
230 222 2
230 224 1
230 231 1
231 76 1
231 77 1
231 79 1
231 230 1
232 77 1
232 105 1
232 221 2
232 364 1
233 234 1
233 238 1
234 83 1
234 105 1
234 233 1
234 365 1
235 79 1
235 83 1
235 89 1
235 229 1
236 85 1
236 89 1
236 90 1
236 228 1
237 86 2
237 239 4
237 366 1
238 233 1
238 239 1
238 365 1
239 237 4
239 238 1
239 362 2
240 242 2
240 362 1
240 363 2
241 258 3
242 220 3
242 240 2
242 258 2
243 201 4
244 245 1
245 117 6
246 243 1
247 187 2
247 188 2
247 249 2
247 385 3
248 255 3
248 387 3
248 388 2
249 202 2
249 247 2
249 253 3
249 388 3
250 146 2
250 200 3
250 251 2
251 147 2
251 250 2
251 252 2
251 375 3
252 202 3
252 251 2
252 253 2
252 377 2
253 249 3
253 252 2
253 254 2
253 256 3
254 160 3
254 185 1
254 253 2
255 167 2
255 186 2
255 248 3
256 40 1
256 159 2
256 253 3
257 41 1
257 126 1
257 382 1
258 241 3
258 242 2
258 398 7
259 263 1
259 397 2
259 398 3
260 261 1
260 263 2
260 397 2
261 260 1
261 328 4
261 330 3
261 399 2
262 65 1
262 263 3
262 265 5
262 398 1
263 259 1
263 260 2
263 262 3
263 399 1
264 220 4
264 265 1
264 266 4
265 262 5
265 264 1
265 393 5
266 211 1
266 264 4
266 268 8
267 268 3
267 271 3
267 330 2
267 399 4
268 266 8
268 267 3
268 269 3
268 393 3
269 108 4
269 268 3
269 270 1
269 271 3
270 269 1
270 272 7
270 280 4
271 49 4
271 267 3
271 269 3
271 331 2
272 48 4
272 270 7
272 317 1
273 107 1
273 274 1
274 273 1
274 279 3
275 107 1
275 319 4
276 53 3
276 107 2
276 189 4
276 277 2
277 52 3
277 276 2
277 278 2
278 277 2
278 280 1
278 281 1
279 280 1
279 282 3
280 270 4
280 278 1
280 279 1
281 275 3
281 278 1
282 50 3
282 108 1
283 281 3
283 284 1
284 108 1
284 283 1
284 394 5
285 286 4
285 338 8
285 339 6
285 394 4
286 52 5
286 285 4
286 287 4
286 290 3
287 53 3
287 286 4
287 288 1
288 184 2
288 287 1
288 322 3
289 290 2
289 321 2
289 322 2
290 286 3
290 289 2
290 291 2
291 290 2
291 292 1
291 294 2
291 316 3
292 291 1
292 295 4
292 339 5
293 68 2
293 305 4
294 291 2
294 296 1
294 299 5
295 292 4
295 395 4
296 37 2
296 294 1
296 297 2
297 296 2
297 315 1
298 63 4
298 64 2
298 302 1
299 294 5
299 302 1
299 314 2
300 63 4
300 304 4
300 308 3
301 63 2
301 64 2
301 312 1
302 298 1
302 299 1
302 303 4
303 302 4
303 304 1
303 395 1
304 300 4
304 303 1
304 341 5
305 58 2
305 293 4
306 58 2
306 59 3
306 343 2
307 55 5
307 58 4
307 320 1
308 60 1
308 300 3
308 396 2
309 36 2
309 310 2
309 313 1
310 63 3
310 309 2
310 396 4
311 312 2
311 392 2
312 36 2
312 301 1
312 311 2
313 309 1
314 299 2
314 390 1
315 297 1
315 391 1
316 177 1
316 291 3
317 209 1
317 272 1
318 274 4
319 192 1
320 57 3
320 72 2
320 307 1
321 289 2
321 384 1
322 183 2
322 288 3
322 289 2
323 144 2
323 205 3
323 324 3
324 38 1
324 143 1
324 323 3
325 165 3
325 166 1
325 389 1
326 177 1
326 178 1
326 384 1
327 170 2
327 173 2
328 261 4
328 329 4
328 350 1
329 66 2
329 328 4
329 397 1
330 261 3
330 267 2
330 331 4
330 351 5
331 271 2
331 330 4
331 332 4
331 349 5
332 331 4
332 334 1
332 335 1
333 51 3
333 334 1
334 332 1
334 333 1
334 338 9
335 332 1
335 336 4
336 344 1
336 347 4
337 333 4
337 358 1
338 285 8
338 334 9
339 285 6
339 292 5
339 340 1
340 339 1
340 341 8
340 395 5
341 304 5
341 340 8
341 342 8
342 56 2
342 341 8
342 343 3
343 57 2
343 306 2
343 342 3
344 336 1
344 349 4
344 358 1
345 346 1
345 348 1
346 337 4
346 345 1
347 33 17
347 348 1
348 345 1
348 347 1
348 354 4
349 331 5
349 344 4
349 351 4
349 354 4
350 328 1
350 351 3
351 330 5
351 349 4
351 350 3
351 352 4
352 351 4
352 353 5
352 354 5
353 66 5
353 352 5
354 348 4
354 349 4
354 352 5
355 55 7
355 73 4
355 356 7
356 355 7
356 357 1
356 400 4
357 34 17
357 54 2
357 356 1
358 337 1
358 344 1
359 148 1
359 157 1
360 149 1
360 156 1
361 1 2
361 218 1
361 220 2
361 221 2
361 362 3
362 2 2
362 239 2
362 240 1
362 361 3
363 3 1
363 240 2
364 4 2
364 75 1
364 216 2
364 221 1
364 232 1
365 5 2
365 85 1
365 86 1
365 234 1
365 238 1
366 6 1
366 90 2
366 237 1
367 7 2
367 133 2
367 138 2
367 139 1
367 370 2
368 8 2
368 39 1
368 81 1
368 225 1
369 9 1
369 136 2
369 137 1
369 138 2
369 152 2
370 10 1
370 138 1
370 367 2
370 371 2
370 374 3
371 11 1
371 133 2
371 134 2
371 370 2
371 372 1
372 127 1
372 371 1
373 12 1
373 99 2
373 102 1
373 135 2
373 136 1
374 13 1
374 96 2
374 97 1
374 135 1
374 370 3
375 14 3
375 112 1
375 199 2
375 200 1
375 251 3
376 15 3
376 206 2
376 208 1
376 210 2
376 212 2
377 16 3
377 147 3
377 159 1
377 252 2
378 17 3
378 145 1
378 146 2
378 150 2
379 18 2
379 158 3
379 162 2
379 163 2
380 19 2
380 118 2
380 155 2
380 157 2
380 158 2
381 20 2
381 103 1
381 151 2
381 153 1
382 257 1
383 21 2
383 177 1
383 178 1
383 179 1
384 22 2
384 183 2
384 321 1
384 326 1
385 23 2
385 184 2
385 247 3
385 388 2
386 172 1
386 181 2
387 24 2
387 168 3
387 181 2
387 182 2
387 248 3
388 25 2
388 185 3
388 248 2
388 249 3
388 385 2
389 26 2
389 160 2
389 186 2
389 325 1
390 27 2
390 314 1
390 391 3
391 28 2
391 175 2
391 315 1
391 390 3
392 45 1
392 46 2
392 311 2
393 29 7
393 65 1
393 265 5
393 268 3
394 30 5
394 52 4
394 284 5
394 285 4
395 31 5
395 295 4
395 303 1
395 340 5
396 32 6
396 62 1
396 308 2
396 310 4
397 259 2
397 260 2
397 329 1
398 258 7
398 259 3
398 262 1
399 65 3
399 261 2
399 263 1
399 267 4
400 356 4
S 15
29 32 4 2 10 19 12 7 17 11 24 21 16 23 6
T 15
31 8 26 30 5 18 28 1 9 25 22 15 13 27 14
