N 3716
M 13500
R 500
# u v length
2042 74 14.0
74 1483 14.0
1483 74 14.0
74 3191 58.0
3191 74 58.0
75 830 102.0
830 75 102.0
75 1897 174.0
1897 75 174.0
75 229 58.0
229 75 58.0
75 938 168.0
938 75 168.0
76 2685 8.0
2685 76 8.0
76 773 24.0
773 76 24.0
76 3383 24.0
3383 76 24.0
76 3372 58.0
3372 76 58.0
77 2513 28.0
2513 77 28.0
77 3589 8.0
3589 77 8.0
77 404 94.0
404 77 94.0
78 3310 34.0
3310 78 34.0
78 242 72.0
242 78 72.0
78 529 14.0
529 78 14.0
79 611 12.0
611 79 12.0
79 967 56.0
967 79 56.0
79 1913 44.0
1913 79 44.0
79 994 46.0
994 79 46.0
80 3233 54.0
3233 80 54.0
80 3231 62.0
3231 80 62.0
80 2740 94.0
2740 80 94.0
81 1903 30.0
1903 81 30.0
81 3298 154.0
3298 81 154.0
81 2153 8.0
2153 81 8.0
82 898 44.0
898 82 44.0
82 3113 24.0
3113 82 24.0
82 1217 70.0
1217 82 70.0
82 3061 6.0
3061 82 6.0
83 2878 98.0
2878 83 98.0
83 1714 10.0
1714 83 10.0
83 2480 92.0
2480 83 92.0
83 2534 8.0
2534 83 8.0
84 808 66.0
808 84 66.0
84 499 184.0
499 84 184.0
84 3335 12.0
3335 84 12.0
84 3668 134.0
3668 84 134.0
85 2721 66.0
2721 85 66.0
85 154 176.0
154 85 176.0
85 325 8.0
325 85 8.0
85 115 130.0
115 85 130.0
86 3435 44.0
3435 86 44.0
86 352 2.0
352 86 2.0
86 783 124.0
783 86 124.0
86 3024 6.0
3024 86 6.0
87 2664 58.0
2664 87 58.0
87 3072 16.0
3072 87 16.0
87 2511 2.0
2511 87 2.0
88 556 66.0
556 88 66.0
88 2149 26.0
2149 88 26.0
88 2103 6.0
2103 88 6.0
88 461 28.0
461 88 28.0
89 2580 64.0
2580 89 64.0
89 779 102.0
779 89 102.0
89 3174 72.0
3174 89 72.0
90 1851 86.0
1851 90 86.0
90 1660 32.0
1660 90 32.0
90 2433 70.0
2433 90 70.0
91 2775 94.0
2775 91 94.0
91 1896 44.0
1896 91 44.0
91 384 20.0
384 91 20.0
91 884 48.0
884 91 48.0
92 1726 32.0
1726 92 32.0
92 557 32.0
557 92 32.0
92 2316 54.0
2316 92 54.0
92 1252 162.0
1252 92 162.0
93 2651 154.0
2651 93 154.0
93 114 88.0
114 93 88.0
94 785 22.0
785 94 22.0
94 3196 86.0
3196 94 86.0
94 2566 62.0
2566 94 62.0
94 3634 106.0
3634 94 106.0
95 852 40.0
852 95 40.0
95 1050 30.0
1050 95 30.0
95 3270 30.0
3270 95 30.0
95 2893 30.0
2893 95 30.0
96 943 6.0
943 96 6.0
96 742 46.0
742 96 46.0
96 3262 40.0
3262 96 40.0
96 2461 40.0
2461 96 40.0
97 602 20.0
602 97 20.0
97 3690 28.0
3690 97 28.0
97 2476 24.0
2476 97 24.0
97 2581 22.0
2581 97 22.0
98 687 44.0
687 98 44.0
98 2292 22.0
2292 98 22.0
98 737 42.0
737 98 42.0
99 1676 88.0
1676 99 88.0
99 3450 64.0
3450 99 64.0
99 3087 4.0
3087 99 4.0
100 572 26.0
572 100 26.0
100 3594 62.0
3594 100 62.0
100 2012 70.0
2012 100 70.0
101 1613 38.0
1613 101 38.0
101 1845 32.0
1845 101 32.0
101 2879 46.0
2879 101 46.0
102 256 22.0
256 102 22.0
102 1613 46.0
1613 102 46.0
102 2879 38.0
2879 102 38.0
102 1949 34.0
1949 102 34.0
103 3047 138.0
3047 103 138.0
103 1769 158.0
1769 103 158.0
103 164 104.0
164 103 104.0
103 2948 4.0
2948 103 4.0
104 2806 30.0
2806 104 30.0
104 1427 60.0
1427 104 60.0
104 1129 22.0
1129 104 22.0
104 3258 4.0
3258 104 4.0
105 110 20.0
110 105 20.0
105 3481 136.0
3481 105 136.0
106 1469 90.0
1469 106 90.0
106 328 14.0
328 106 14.0
106 1157 4.0
1157 106 4.0
106 3059 16.0
3059 106 16.0
107 1370 26.0
1370 107 26.0
107 2429 60.0
2429 107 60.0
107 3367 124.0
3367 107 124.0
108 2151 24.0
2151 108 24.0
108 886 94.0
886 108 94.0
108 2621 20.0
2621 108 20.0
109 253 92.0
253 109 92.0
109 273 64.0
273 109 64.0
109 2954 2.0
2954 109 2.0
109 1396 58.0
1396 109 58.0
110 140 82.0
140 110 82.0
110 616 136.0
616 110 136.0
111 2023 40.0
2023 111 40.0
111 2353 14.0
2353 111 14.0
111 3353 22.0
3353 111 22.0
111 2118 58.0
2118 111 58.0
112 3068 102.0
3068 112 102.0
112 1533 46.0
1533 112 46.0
112 1516 8.0
1516 112 8.0
112 1861 40.0
1861 112 40.0
113 1482 60.0
1482 113 60.0
113 1982 30.0
1982 113 30.0
113 3686 90.0
3686 113 90.0
113 1407 20.0
1407 113 20.0
114 3137 154.0
3137 114 154.0
114 167 162.0
167 114 162.0
115 141 66.0
141 115 66.0
115 3375 20.0
3375 115 20.0
115 2811 24.0
2811 115 24.0
116 2229 102.0
2229 116 102.0
116 1203 60.0
1203 116 60.0
116 1982 60.0
1982 116 60.0
116 1482 30.0
1482 116 30.0
117 2476 64.0
2476 117 64.0
117 2980 28.0
2980 117 28.0
117 2432 42.0
2432 117 42.0
117 3208 22.0
3208 117 22.0
118 2163 98.0
2163 118 98.0
118 1909 58.0
1909 118 58.0
118 418 92.0
418 118 92.0
118 2269 104.0
2269 118 104.0
119 2391 36.0
2391 119 36.0
119 3556 88.0
3556 119 88.0
119 1530 44.0
1530 119 44.0
119 2596 84.0
2596 119 84.0
120 1210 98.0
1210 120 98.0
120 3408 30.0
3408 120 30.0
120 2656 110.0
2656 120 110.0
120 870 34.0
870 120 34.0
121 3330 16.0
3330 121 16.0
121 484 14.0
484 121 14.0
121 2071 102.0
2071 121 102.0
121 351 76.0
351 121 76.0
122 2022 34.0
2022 122 34.0
122 1739 112.0
1739 122 112.0
122 2521 28.0
2521 122 28.0
122 2659 8.0
2659 122 8.0
123 1960 94.0
1960 123 94.0
123 3021 184.0
3021 123 184.0
123 670 34.0
670 123 34.0
123 2331 134.0
2331 123 134.0
124 1145 52.0
1145 124 52.0
124 2030 60.0
2030 124 60.0
124 2967 2.0
2967 124 2.0
125 2062 124.0
2062 125 124.0
125 490 4.0
490 125 4.0
125 3333 88.0
3333 125 88.0
125 3627 106.0
3627 125 106.0
126 1646 68.0
1646 126 68.0
126 509 18.0
509 126 18.0
126 1939 50.0
1939 126 50.0
127 3555 30.0
3555 127 30.0
127 2288 90.0
2288 127 90.0
127 1215 60.0
1215 127 60.0
128 2111 40.0
2111 128 40.0
128 699 42.0
699 128 42.0
128 3156 98.0
3156 128 98.0
128 1856 20.0
1856 128 20.0
129 355 16.0
355 129 16.0
129 794 112.0
794 129 112.0
129 3279 74.0
3279 129 74.0
130 3361 110.0
3361 130 110.0
130 2951 140.0
2951 130 140.0
130 666 58.0
666 130 58.0
130 2258 80.0
2258 130 80.0
131 801 20.0
801 131 20.0
131 724 24.0
724 131 24.0
131 1156 74.0
1156 131 74.0
132 3670 88.0
3670 132 88.0
132 903 134.0
903 132 134.0
132 283 76.0
283 132 76.0
132 1290 16.0
1290 132 16.0
133 1596 98.0
1596 133 98.0
133 1980 4.0
1980 133 4.0
133 3708 74.0
3708 133 74.0
134 2369 86.0
2369 134 86.0
134 3134 4.0
3134 134 4.0
134 1130 70.0
1130 134 70.0
134 3651 150.0
3651 134 150.0
135 830 168.0
830 135 168.0
135 938 102.0
938 135 102.0
135 833 136.0
833 135 136.0
136 1700 124.0
1700 136 124.0
136 2142 4.0
2142 136 4.0
136 1350 74.0
1350 136 74.0
137 1159 122.0
1159 137 122.0
137 2038 100.0
2038 137 100.0
137 2867 122.0
2867 137 122.0
137 424 32.0
424 137 32.0
138 1412 16.0
1412 138 16.0
138 1602 58.0
1602 138 58.0
138 2163 94.0
2163 138 94.0
138 3593 104.0
3593 138 104.0
139 2192 16.0
2192 139 16.0
139 245 28.0
245 139 28.0
139 874 60.0
874 139 60.0
139 1740 12.0
1740 139 12.0
140 143 8.0
143 140 8.0
140 1445 90.0
1445 140 90.0
141 1441 88.0
1441 141 88.0
141 2721 130.0
2721 141 130.0
141 2372 24.0
2372 141 24.0
142 2329 102.0
2329 142 102.0
142 1620 124.0
1620 142 124.0
142 863 140.0
863 142 140.0
143 161 50.0
161 143 50.0
143 1677 90.0
1677 143 90.0
144 779 16.0
779 144 16.0
144 2339 34.0
2339 144 34.0
144 1892 4.0
1892 144 4.0
144 2718 4.0
2718 144 4.0
145 2688 44.0
2688 145 44.0
145 1705 74.0
1705 145 74.0
145 2492 88.0
2492 145 88.0
145 317 60.0
317 145 60.0
146 1936 158.0
1936 146 158.0
146 1938 130.0
1938 146 130.0
146 1363 140.0
1363 146 140.0
147 2813 88.0
2813 147 88.0
147 2439 14.0
2439 147 14.0
147 1138 8.0
1138 147 8.0
148 1675 36.0
1675 148 36.0
148 823 32.0
823 148 32.0
148 2874 24.0
2874 148 24.0
148 846 12.0
846 148 12.0
149 3097 112.0
3097 149 112.0
149 2971 102.0
2971 149 102.0
149 590 44.0
590 149 44.0
150 398 92.0
398 150 92.0
150 892 26.0
892 150 26.0
150 2421 4.0
2421 150 4.0
150 1244 44.0
1244 150 44.0
151 1532 58.0
1532 151 58.0
151 3441 66.0
3441 151 66.0
151 739 30.0
739 151 30.0
151 2308 18.0
2308 151 18.0
152 368 86.0
368 152 86.0
152 2712 66.0
2712 152 66.0
152 717 124.0
717 152 124.0
152 955 32.0
955 152 32.0
153 3333 66.0
3333 153 66.0
153 319 4.0
319 153 4.0
153 948 12.0
948 153 12.0
153 1241 106.0
1241 153 106.0
154 2636 66.0
2636 154 66.0
154 1241 112.0
1241 154 112.0
154 3679 8.0
3679 154 8.0
155 2784 158.0
2784 155 158.0
155 1606 20.0
1606 155 20.0
155 1128 154.0
1128 155 154.0
156 1372 6.0
1372 156 6.0
156 2725 30.0
2725 156 30.0
157 788 132.0
788 157 132.0
157 3573 66.0
3573 157 66.0
157 2195 140.0
2195 157 140.0
158 1956 4.0
1956 158 4.0
158 2107 88.0
2107 158 88.0
158 331 8.0
331 158 8.0
158 3306 34.0
3306 158 34.0
159 278 138.0
278 159 138.0
159 1372 30.0
1372 159 30.0
159 2725 6.0
2725 159 6.0
159 180 168.0
180 159 168.0
160 947 9.0
947 160 9.0
160 2272 19.0
2272 160 19.0
161 170 46.0
170 161 46.0
161 3044 90.0
3044 161 90.0
162 952 14.0
952 162 14.0
162 2778 26.0
2778 162 26.0
162 672 58.0
672 162 58.0
163 1233 60.0
1233 163 60.0
163 1725 142.0
1725 163 142.0
163 3646 28.0
3646 163 28.0
163 2640 150.0
2640 163 150.0
164 462 158.0
462 164 158.0
164 1201 6.0
1201 164 6.0
165 2210 4.0
2210 165 4.0
165 2491 118.0
2491 165 118.0
165 3141 58.0
3141 165 58.0
166 2646 52.0
2646 166 52.0
166 2706 80.0
2706 166 80.0
166 1769 138.0
1769 166 138.0
166 3047 158.0
3047 166 158.0
167 3364 154.0
3364 167 154.0
167 220 192.0
220 167 192.0
168 2080 92.0
2080 168 92.0
168 3157 68.0
3157 168 68.0
168 2333 6.0
2333 168 6.0
169 2053 12.0
2053 169 12.0
169 533 56.0
533 169 56.0
169 185 64.0
185 169 64.0
169 2536 4.0
2536 169 4.0
170 200 124.0
200 170 124.0
170 598 90.0
598 170 90.0
171 863 124.0
863 171 124.0
171 1620 140.0
1620 171 140.0
171 3533 88.0
3533 171 88.0
171 419 80.0
419 171 80.0
172 1766 6.0
1766 172 6.0
172 2547 32.0
2547 172 32.0
172 386 86.0
386 172 86.0
172 495 96.0
495 172 96.0
173 2475 10.0
2475 173 10.0
173 2495 4.0
2495 173 4.0
173 2503 58.0
2503 173 58.0
173 2727 2.0
2727 173 2.0
174 965 8.0
965 174 8.0
174 629 150.0
629 174 150.0
174 3510 4.0
3510 174 4.0
174 2699 184.0
2699 174 184.0
175 3192 6.0
3192 175 6.0
175 3536 6.0
3536 175 6.0
175 612 14.0
612 175 14.0
176 773 24.0
773 176 24.0
176 2872 10.0
2872 176 10.0
176 1104 142.0
1104 176 142.0
176 3383 24.0
3383 176 24.0
177 1539 8.0
1539 177 8.0
177 2287 79.0
2287 177 79.0
177 1659 58.0
1659 177 58.0
177 3349 42.0
3349 177 42.0
178 1050 30.0
1050 178 30.0
178 2572 42.0
2572 178 42.0
178 1224 44.0
1224 178 44.0
178 3270 30.0
3270 178 30.0
179 3227 40.0
3227 179 40.0
179 2516 44.0
2516 179 44.0
179 2976 32.0
2976 179 32.0
179 3393 86.0
3393 179 86.0
180 658 138.0
658 180 138.0
180 3085 6.0
3085 180 6.0
180 3220 136.0
3220 180 136.0
181 950 2.0
950 181 2.0
181 812 82.0
812 181 82.0
181 2228 74.0
2228 181 74.0
181 1549 26.0
1549 181 26.0
182 2011 162.0
2011 182 162.0
182 1297 22.0
1297 182 22.0
182 2189 122.0
2189 182 122.0
182 752 112.0
752 182 112.0
183 3526 10.0
3526 183 10.0
183 3146 84.0
3146 183 84.0
183 3374 124.0
3374 183 124.0
184 3563 88.0
3563 184 88.0
184 565 4.0
565 184 4.0
184 2234 44.0
2234 184 44.0
184 3130 48.0
3130 184 48.0
185 3174 56.0
3174 185 56.0
185 2620 4.0
2620 185 4.0
186 1142 86.0
1142 186 86.0
186 899 30.0
899 186 30.0
186 2360 146.0
2360 186 146.0
186 655 34.0
655 186 34.0
187 1059 6.0
1059 187 6.0
187 288 46.0
288 187 46.0
187 1169 20.0
1169 187 20.0
187 2600 2.0
2600 187 2.0
188 3337 30.0
3337 188 30.0
188 3256 94.0
3256 188 94.0
188 1908 64.0
1908 188 64.0
189 3452 50.0
3452 189 50.0
189 1557 36.0
1557 189 36.0
189 1870 32.0
1870 189 32.0
189 1137 20.0
1137 189 20.0
190 1326 60.0
1326 190 60.0
190 3570 46.0
3570 190 46.0
190 2809 60.0
2809 190 60.0
190 3438 2.0
3438 190 2.0
191 3034 34.0
3034 191 34.0
191 2818 58.0
2818 191 58.0
191 1249 36.0
1249 191 36.0
192 2067 42.0
2067 192 42.0
192 459 56.0
459 192 56.0
192 324 82.0
324 192 82.0
192 934 46.0
934 192 46.0
193 2048 14.0
2048 193 14.0
193 2946 48.0
2946 193 48.0
193 3017 52.0
3017 193 52.0
193 1669 100.0
1669 193 100.0
194 1869 78.0
1869 194 78.0
194 2391 84.0
2391 194 84.0
194 2596 36.0
2596 194 36.0
194 1759 24.0
1759 194 24.0
195 3674 22.0
3674 195 22.0
195 1045 12.0
1045 195 12.0
195 2678 100.0
2678 195 100.0
195 958 26.0
958 195 26.0
196 383 50.0
383 196 50.0
196 3037 2.0
3037 196 2.0
196 813 24.0
813 196 24.0
197 3024 124.0
3024 197 124.0
197 783 6.0
783 197 6.0
197 3531 28.0
3531 197 28.0
198 2703 154.0
2703 198 154.0
198 1296 18.0
1296 198 18.0
198 3463 144.0
3463 198 144.0
199 3193 46.0
3193 199 46.0
199 2188 100.0
2188 199 100.0
199 2226 44.0
2226 199 44.0
199 2797 12.0
2797 199 12.0
200 264 178.0
264 200 178.0
200 327 90.0
327 200 90.0
201 734 68.0
734 201 68.0
201 668 38.0
668 201 38.0
201 3233 50.0
3233 201 50.0
201 3606 94.0
3606 201 94.0
202 648 52.0
648 202 52.0
202 1042 200.0
1042 202 200.0
202 2499 36.0
2499 202 36.0
202 1314 10.0
1314 202 10.0
203 2434 6.0
2434 203 6.0
203 2798 82.0
2798 203 82.0
203 3378 42.0
3378 203 42.0
204 3297 60.0
3297 204 60.0
204 1469 16.0
1469 204 16.0
204 3059 90.0
3059 204 90.0
204 1518 44.0
1518 204 44.0
205 3504 66.0
3504 205 66.0
205 1446 44.0
1446 205 44.0
205 1485 36.0
1485 205 36.0
205 2823 28.0
2823 205 28.0
206 905 58.0
905 206 58.0
206 1365 44.0
1365 206 44.0
206 3187 10.0
3187 206 10.0
206 1323 24.0
1323 206 24.0
207 1389 46.0
1389 207 46.0
207 496 132.0
496 207 132.0
207 1433 200.0
1433 207 200.0
208 1672 78.0
1672 208 78.0
208 3382 14.0
3382 208 14.0
208 3084 168.0
3084 208 168.0
209 1725 28.0
1725 209 28.0
209 1237 20.0
1237 209 20.0
209 2555 88.0
2555 209 88.0
209 3646 142.0
3646 209 142.0
210 1201 98.0
1201 210 98.0
210 2933 158.0
2933 210 158.0
210 2010 92.0
2010 210 92.0
210 1195 88.0
1195 210 88.0
211 2874 94.0
2874 211 94.0
211 3445 32.0
3445 211 32.0
211 3688 6.0
3688 211 6.0
212 3250 66.0
3250 212 66.0
212 1100 20.0
1100 212 20.0
212 346 12.0
346 212 12.0
212 319 172.0
319 212 172.0
213 1782 64.0
1782 213 64.0
213 1490 52.0
1490 213 52.0
213 1636 40.0
1636 213 40.0
213 2643 30.0
2643 213 30.0
214 3421 12.0
3421 214 12.0
214 2739 58.0
2739 214 58.0
214 1927 10.0
1927 214 10.0
214 2884 42.0
2884 214 42.0
215 2033 28.0
2033 215 28.0
215 3643 18.0
3643 215 18.0
215 2028 72.0
2028 215 72.0
215 2444 58.0
2444 215 58.0
216 1163 45.0
1163 216 45.0
216 432 51.0
432 216 51.0
217 1888 162.0
1888 217 162.0
217 1159 32.0
1159 217 32.0
217 424 122.0
424 217 122.0
217 991 122.0
991 217 122.0
218 265 44.0
265 218 44.0
218 1315 2.0
1315 218 2.0
218 1784 14.0
1784 218 14.0
218 723 34.0
723 218 34.0
219 1629 2.0
1629 219 2.0
219 946 64.0
946 219 64.0
220 2667 160.0
2667 220 160.0
220 230 34.0
230 220 34.0
221 3305 32.0
3305 221 32.0
221 798 14.0
798 221 14.0
221 1232 48.0
1232 221 48.0
222 3368 106.0
3368 222 106.0
222 976 46.0
976 222 46.0
222 2177 60.0
2177 222 60.0
222 2794 32.0
2794 222 32.0
223 657 10.0
657 223 10.0
223 1812 34.0
1812 223 34.0
223 391 6.0
391 223 6.0
224 2540 98.0
2540 224 98.0
224 2534 132.0
2534 224 132.0
224 1925 60.0
1925 224 60.0
225 2740 62.0
2740 225 62.0
225 3231 94.0
3231 225 94.0
225 3315 78.0
3315 225 78.0
225 2465 82.0
2465 225 82.0
226 1278 44.0
1278 226 44.0
226 2107 4.0
2107 226 4.0
226 1956 88.0
1956 226 88.0
227 860 58.0
860 227 58.0
227 945 14.0
945 227 14.0
227 3300 112.0
3300 227 112.0
228 829 34.0
829 228 34.0
228 1932 100.0
1932 228 100.0
228 2515 110.0
2515 228 110.0
228 2996 32.0
2996 228 32.0
229 2638 174.0
2638 229 174.0
229 2088 10.0
2088 229 10.0
229 342 168.0
342 229 168.0
230 2734 74.0
2734 230 74.0
230 246 42.0
246 230 42.0
231 2299 124.0
2299 231 124.0
231 603 4.0
603 231 4.0
231 1286 40.0
1286 231 40.0
232 2933 92.0
2933 232 92.0
232 3223 80.0
3223 232 80.0
232 3567 80.0
